Artist,Title,Album,Year,Genre,BPM,Song Key,Record Label,Catalog Number,Mix Placement
Fjaak,Wolves,Fjaak,2017,Techno,128,4A,Monkeytown Records,MTR071DNL,MID
Florian Meindl,Black Market,Black Market EP,2019,Techno,135,1A,Flash Recordings,FLASH219,MID
Flug,Fake Tales,Altered Existence II,2023,Techno,136,1A,Drumcode,DCLTD29,IN
Flug,Deepness,Internal Proceed EP,2017,Techno,128,2A,Suara,SUARA293,IN
Flug,Kontrol,Kontrol,2018,Techno,129,1A,Jam,JAM004,MID
Flug,Trip02,Obscure Cells EP,2016,Techno,133,5A,Format Records,FR009,OUT
Flug,Rave (Coyu Raw Mix),Rave,2018,Techno,130,6A,Suara,SUARA315,MID
Flug,Reality,Reality EP,2020,Techno,135,5A,Suara,SUARA395,IN
Flug,Sequences From The Black Basement,The Collection,2019,Techno,133,1A,Quartz Records,QRZLP001,MID
Flug,Ratio,The Collection,2019,Techno,134,6A,Quartz Records,QRZLP001,IN
Flug,Monitor,The Hedonist EP,2018,Techno,132,6A,Suara,SUARA341,IN
Flug & Sebastian Lopez,The Piano,Mission 01,2020,Techno,133,6A,Uncage,UNCAGEMISSION01,OUT
Fugal,Oil Panes,Oil Panes,2016,Techno,132,4A,Second Nature,SN001,OUT
Fundamental Interaction,Basic Acid Template,DYAD008,2017,Techno,131,1A,DYAD,DYAD008,MID
Gabriel Ananda & Maceo Plex,Solitary Daze,Solitary Daze,2014,Techno,125,2A,Ellum Audio,ELL025,IN
Gareth Wild,Welcome To The Shadows,Granulart Compilation 08,2021,Techno,132,4A,Granulart Recordings,GRCOM08,IN
Gareth Wild,Prowler,MLTred,2017,Techno,132,5A,EarToGround Records,ETGD001,MID
Gaston Zani,Unruly,Unruly,2019,Techno,130,1A,Agile Recordings,AGILE099,IN
Gemini Voice Archive,Reflection On Existence,Reflection On Existence,2016,Techno,127,2A,Soma Quality Recordings,SOMA464D,IN
Grad_U,Decay,Redscale 01-09,2019,Techno,123,8A,Redscale,RDSCLCD01D,OUT
Greenbeam & Leon,Vanadium 23v,ATT Series 008,2017,Techno,128,7A,ATT Series,ATTSERIES008,IN
Gunnar Haslam,Discrete Markov Dub,Ataxia No Logos,2014,Techno,128,6A,Delsin,DSRC1,OUT
Glós,Cut Tongues (Border One Remix),Hidden Variations Throwing Tongues,2016,Techno,128,4A,Ressort Imprint,RSI009,IN
Haeken,Oracle I,Oracle EP,2016,Techno,134,2A,Mord,MORD034,MID
Heiko Laux & Joel Mull,Rooter,Rooter,2017,Techno,128,7A,Kanzleramt,KA174,MID
Henning Baer,PAN2945 (Blawan Remix),Fighting The Dogs,2016,Techno,126,8A,ManHigh Recordings,MANHIGH001,IN
Hertz Collision,Flexin (Blenk Remix),Context,2020,Techno,128,3A,Uncage,UNCAGEX007,OUT
Hi-Lo,Lokomotif,Wanna Go Bang,2022,Techno,128,6A,Drumcode,DC267,MID
Hiver,Itria (Jonas Kopp Remix),10 Years Of Jaunt,2017,Techno,125,4A,Jaunt Records,JR007.1,OUT
HLLW,Støv,BØLGE,2019,Techno,133,1A,Mörk,MÖRK019,OUT
Idealist,Smoke And Mirrors,Mind Field,2018,Techno,126,6A,Echocord Records,ECHOCORD079,OUT
Ignacio Arfeli,Activation,Mystery,2022,Techno,134,11A,We Are The Brave,WATB097BP,MID
Inland,Swerv,Time Leak,2019,Techno,132,8A,Figure,FIGUREX05,OUT
Inland,Time Leak,Time Leak,2019,Techno,132,4A,Figure,FIGUREX05,OUT
Insolate,Warehouse Jams (PVS Remix),Disgrace EP,2019,Techno,135,2A,H.omevvork Recordings,H.VV005,OUT
Introversion,Unmarried Old Man,Dystopia,2017,Techno,128,1A,Arts Collective,ARTSCCV0017,MID
James Ruskin,Into A Circle,Into A Circle,2014,Techno,130,8A,Jealous God,JG02,IN
Janice,Silent Reflection (Cleric Remix),Janice 5,2018,Techno,131,6A,Janice,JANICE05,IN
Jeff Derringer,Technique,Radio Therapy,2016,Techno,126,3A,Soma Quality Recordings,SOMA456,MID
Jeff Rushin,Lead Me,Speaking Of Witch,2019,Techno,129,6A,Odd/Even,ODDEVEN022,MID
Jeroen Search,Da Capo,Time Signature EP,2017,Techno,130,9A,Figure,FIGURE84,OUT
Jesper Dahlback & Nima Khak,Expansion Of Timelessness,The Great Wisdom Of D,2016,Techno,135,1A,Parabel,PRBL005D,OUT
Jesús Riaño & Sed,P25,Box 25,2020,Techno,128,4A,Illegal Alien,IAR268,IN
